IQ-TREE multicore version 2.0.3 for Linux 64-bit built Dec 20 2020
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    fat02 (AVX512, FMA3, 3023 GB RAM)
Command: iqtree -s virus5_rdrp.mafft.trimal.fasta -T auto -m MFP -b 1000 -redo
Seed:    313020 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Mon Aug 14 20:27:28 2023
Kernel:  AVX+FMA - auto-detect threads (96 CPU cores detected)

Reading alignment file virus5_rdrp.mafft.trimal.fasta ... Fasta format detected
Alignment most likely contains protein sequences
Alignment has 12 sequences with 715 columns, 607 distinct patterns
421 parsimony-informative, 167 singleton sites, 127 constant sites
WARNING: Some sequence names are changed as follows:
YP_009225665.1[Panax_notoginseng_virus_A] -> YP_009225665.1_Panax_notoginseng_virus_A_
AWX94599.1_[Panax_notoginseng_virus_B] -> AWX94599.1__Panax_notoginseng_virus_B_
QFS21891.1[Taro-associated_totivirus_L] -> QFS21891.1_Taro-associated_totivirus_L_
AOX47549.1[Pterostylis_sanguinea_totivirus_A] -> AOX47549.1_Pterostylis_sanguinea_totivirus_A_
AOX47551.1[Pterostylis_sanguinea_totivirus_A] -> AOX47551.1_Pterostylis_sanguinea_totivirus_A_
UUY86183.1[Loquat_associated_totivirus_1] -> UUY86183.1_Loquat_associated_totivirus_1_
UVG55946.1[Poaceae_Liege_totivirus_14] -> UVG55946.1_Poaceae_Liege_totivirus_14_
WEL36415.1[Bursera_graveolens_associated_totivirus_1] -> WEL36415.1_Bursera_graveolens_associated_totivirus_1_
YP_009507835.1[Xanthophyllomyces_dendrorhous_virus_L1B] -> YP_009507835.1_Xanthophyllomyces_dendrorhous_virus_L1B_
YP_001497151.1[Black_raspberry_virus_F] -> YP_001497151.1_Black_raspberry_virus_F_
NP_620495.1[Saccharomyces_cerevisiae_virus_L-A] -> NP_620495.1_Saccharomyces_cerevisiae_virus_L-A_

                                                         Gap/Ambiguity  Composition  p-value
   1  virus5_rdrp                                               21.96%    passed     91.23%
   2  YP_009225665.1_Panax_notoginseng_virus_A_                  0.00%    passed     99.36%
   3  AWX94599.1__Panax_notoginseng_virus_B_                     0.00%    passed     99.88%
   4  QFS21891.1_Taro-associated_totivirus_L_                    0.00%    passed     97.40%
   5  AOX47549.1_Pterostylis_sanguinea_totivirus_A_              4.34%    passed     99.49%
   6  AOX47551.1_Pterostylis_sanguinea_totivirus_A_              3.08%    passed     97.59%
   7  UUY86183.1_Loquat_associated_totivirus_1_                  0.00%    passed     33.88%
   8  UVG55946.1_Poaceae_Liege_totivirus_14_                     0.28%    passed     99.90%
   9  WEL36415.1_Bursera_graveolens_associated_totivirus_1_      0.00%    passed     82.36%
  10  YP_009507835.1_Xanthophyllomyces_dendrorhous_virus_L1B_    3.92%    passed     72.31%
  11  YP_001497151.1_Black_raspberry_virus_F_                    0.00%    passed     99.59%
  12  NP_620495.1_Saccharomyces_cerevisiae_virus_L-A_            2.94%    passed     56.92%
****  TOTAL                                                      3.04%  0 sequences failed composition chi2 test (p-value<5%; df=19)


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.002 seconds
Measuring multi-threading efficiency up to 96 CPU cores
Increase to 10 rounds for branch lengths
758 trees examined
Threads: 1 / Time: 96.071 sec / Speedup: 1.000 / Efficiency: 100% / LogL: -13557
Threads: 2 / Time: 78.559 sec / Speedup: 1.223 / Efficiency: 61% / LogL: -13557
Threads: 3 / Time: 77.542 sec / Speedup: 1.239 / Efficiency: 41% / LogL: -13557
BEST NUMBER OF THREADS: 2

Perform fast likelihood tree search using LG+I+G model...
Estimate model parameters (epsilon = 5.000)
Perform nearest neighbor interchange...
Estimate model parameters (epsilon = 1.000)
1. Initial log-likelihood: -13204.388
Optimal log-likelihood: -13204.283
Proportion of invariable sites: 0.081
Gamma shape alpha: 0.802
Parameters optimization took 1 rounds (0.032 sec)
Time for fast ML tree search: 0.258 seconds

NOTE: ModelFinder requires 11 MB RAM!
ModelFinder will test up to 546 protein models (sample size: 715) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  LG            13939.886    21  27921.771    27923.105    28017.789
  2  LG+I          13586.770    22  27217.541    27219.003    27318.131
  3  LG+G4         13206.295    22  26456.590    26458.052    26557.180
  4  LG+I+G4       13204.279    23  26454.559    26456.157    26559.721
  5  LG+R2         13297.460    23  26640.920    26642.518    26746.083
  6  LG+R3         13206.580    25  26463.160    26465.047    26577.467
  7  LG+R4         13202.547    27  26459.094    26461.295    26582.546
 16  LG+F+G4       13173.220    41  26428.439    26433.557    26615.903
 17  LG+F+I+G4     13170.885    42  26425.769    26431.144    26617.805
 29  WAG+G4        13286.011    22  26616.022    26617.485    26716.613
 30  WAG+I+G4      13281.314    23  26608.628    26610.225    26713.790
 42  WAG+F+G4      13224.736    41  26531.472    26536.589    26718.935
 43  WAG+F+I+G4    13220.431    42  26524.862    26530.237    26716.898
 55  JTT+G4        13387.765    22  26819.530    26820.992    26920.120
 56  JTT+I+G4      13385.945    23  26817.889    26819.487    26923.052
 68  JTT+F+G4      13318.315    41  26718.631    26723.748    26906.094
 69  JTT+F+I+G4    13316.508    42  26717.017    26722.392    26909.053
 81  JTTDCMut+G4   13385.080    22  26814.160    26815.623    26914.751
 82  JTTDCMut+I+G4 13383.233    23  26812.466    26814.064    26917.629
 94  JTTDCMut+F+G4 13315.802    41  26713.604    26718.721    26901.068
 95  JTTDCMut+F+I+G4 13314.006    42  26712.012    26717.387    26904.048
107  DCMut+G4      13452.909    22  26949.817    26951.280    27050.408
108  DCMut+I+G4    13449.345    23  26944.690    26946.288    27049.853
120  DCMut+F+G4    13305.282    41  26692.564    26697.681    26880.028
121  DCMut+F+I+G4  13302.628    42  26689.256    26694.631    26881.292
133  VT+G4         13317.022    22  26678.045    26679.507    26778.635
134  VT+I+G4       13313.328    23  26672.655    26674.253    26777.818
146  VT+F+G4       13257.741    41  26597.482    26602.599    26784.946
147  VT+F+I+G4     13253.930    42  26591.861    26597.236    26783.897
159  PMB+G4        13360.700    22  26765.401    26766.863    26865.991
160  PMB+I+G4      13357.951    23  26761.903    26763.500    26867.065
172  PMB+F+G4      13286.824    41  26655.648    26660.766    26843.112
173  PMB+F+I+G4    13283.958    42  26651.916    26657.291    26843.952
185  Blosum62+G4   13327.743    22  26699.485    26700.948    26800.076
186  Blosum62+I+G4 13324.993    23  26695.985    26697.583    26801.148
198  Blosum62+F+G4 13282.682    41  26647.363    26652.481    26834.827
199  Blosum62+F+I+G4 13279.486    42  26642.973    26648.348    26835.009
211  Dayhoff+G4    13452.194    22  26948.389    26949.851    27048.979
212  Dayhoff+I+G4  13448.627    23  26943.254    26944.852    27048.417
224  Dayhoff+F+G4  13304.882    41  26691.765    26696.882    26879.228
225  Dayhoff+F+I+G4 13302.220    42  26688.440    26693.815    26880.476
237  mtREV+G4      14190.835    22  28425.671    28427.133    28526.261
238  mtREV+I+G4    14191.028    23  28428.056    28429.653    28533.218
250  mtREV+F+G4    13413.663    41  26909.325    26914.443    27096.789
251  mtREV+F+I+G4  13410.362    42  26904.724    26910.099    27096.760
263  mtART+G4      14211.101    22  28466.203    28467.665    28566.793
264  mtART+I+G4    14211.937    23  28469.874    28471.471    28575.036
276  mtART+F+G4    13432.442    41  26946.884    26952.001    27134.348
277  mtART+F+I+G4  13433.051    42  26950.101    26955.476    27142.137
289  mtZOA+G4      13929.358    22  27902.717    27904.179    28003.307
290  mtZOA+I+G4    13930.294    23  27906.588    27908.186    28011.750
302  mtZOA+F+G4    13323.609    41  26729.217    26734.335    26916.681
303  mtZOA+F+I+G4  13323.447    42  26730.894    26736.269    26922.930
315  mtMet+G4      14176.966    22  28397.932    28399.394    28498.522
316  mtMet+I+G4    14177.667    23  28401.335    28402.933    28506.497
328  mtMet+F+G4    13419.351    41  26920.702    26925.819    27108.165
329  mtMet+F+I+G4  13419.043    42  26922.087    26927.462    27114.123
341  mtVer+G4      14359.597    22  28763.193    28764.655    28863.783
342  mtVer+I+G4    14359.911    23  28765.822    28767.419    28870.984
354  mtVer+F+G4    13590.394    41  27262.787    27267.904    27450.251
355  mtVer+F+I+G4  13589.622    42  27263.244    27268.619    27455.280
