EDGE	database	loci	loci_gene_sequential	loci_sequential	details
1040	embplant_pt	psbT	psbT	psbT	psbT(12-90,embplant_pt)
1204	embplant_pt	ycf2	ycf2	ycf2	ycf2(1-170,embplant_pt)
12578	embplant_pt	rps7	rps7	rps7	rps7(145-305,embplant_pt)
12630	embplant_pt	petD	petD	petD	petD(58-1254,embplant_pt)
13214	embplant_pt	ndhJ,ndhK	ndhJ>>ndhK	ndhJ>>ndhK	ndhJ(587-1065,embplant_pt)>>ndhK(1169-1587,embplant_pt)
13258	embplant_pt	ndhH,rps15	rps15>>ndhH	rps15>>ndhH	rps15(1-174,embplant_pt)>>ndhH(267-335,embplant_pt)
13282	embplant_pt	ycf1	ycf1	ycf1	ycf1(279-365,embplant_pt)
13296	embplant_pt	psaA,psaB	psaA>>psaB	psaA>>psaB	psaA(1-90,embplant_pt)>>psaB(116-330,embplant_pt)
13350	embplant_pt	cemA	cemA	cemA	cemA(165-901,embplant_pt)
13360	embplant_pt	ycf1	ycf1	ycf1	ycf1(5-300,embplant_pt)
13456	embplant_pt	rps7	rps7	rps7	rps7(1-305,embplant_pt)
13464	embplant_pt	rpl14,rpl16	rpl14>>rpl16	rpl14>>rpl16	rpl14(1-152,embplant_pt)>>rpl16(309-650,embplant_pt)
13476	embplant_pt	matK	matK	matK	matK(332-1741,embplant_pt)
13506	embplant_pt	clpP	clpP	clpP	clpP(36-261,embplant_pt)
13548	embplant_pt	rps16	rps16	rps16	rps16(509-713,embplant_pt)
13616	embplant_pt	petN	petN	petN	petN(339-428,embplant_pt)
13618	embplant_pt	psaA,ycf3	psaA>>ycf3	psaA>>ycf3	psaA(1-436,embplant_pt)>>ycf3(1150-1385,embplant_pt)
13634	embplant_pt	rpl22	rpl22	rpl22	rpl22(7-302,embplant_pt)
13636	embplant_pt	ycf3	ycf3	ycf3	ycf3(3-709,embplant_pt)
13640	embplant_pt	ndhA	ndhA	ndhA	ndhA(148-672,embplant_pt)
13662	embplant_pt	ccsA	ccsA	ccsA	ccsA(110-1030,embplant_pt)
13682	embplant_pt	ndhA,ndhI	ndhA>>ndhI	ndhA>>ndhI	ndhA(54-1145,embplant_pt)>>ndhI(1220-1700,embplant_pt)
13686	embplant_pt	psbC,psbD,psbZ	psbZ>>psbC>>psbD	psbZ>>psbC>>psbD	psbZ(225-413,embplant_pt)>>psbC(1107-2528,embplant_pt)>>psbD(2476-2766,embplant_pt)
13716	embplant_pt	ycf1	ycf1	ycf1	ycf1(2-672,embplant_pt)
13726	embplant_pt	psbE,psbF,psbJ,psbL	psbE>>psbF>>psbL>>psbJ	psbE>>psbF>>psbL>>psbJ	psbE(119-370,embplant_pt)>>psbF(380-499,embplant_pt)>>psbL(522-638,embplant_pt)>>psbJ(779-901,embplant_pt)
13736	embplant_pt	rpoC1	rpoC1	rpoC1	rpoC1(2-273,embplant_pt)
13766	embplant_pt	atpB,atpE	atpE>>atpB	atpE>>atpB	atpE(213-610,embplant_pt)>>atpB(607-1248,embplant_pt)
13768	embplant_pt	ndhE,ndhG,psaC	ndhG>>ndhE>>psaC	ndhG>>ndhE>>psaC	ndhG(1-474,embplant_pt)>>ndhE(712-1014,embplant_pt)>>psaC(1282-1527,embplant_pt)
13786	embplant_pt	ndhC,ndhK	ndhK>>ndhC	ndhK>>ndhC	ndhK(3-353,embplant_pt)>>ndhC(323-504,embplant_pt)
13840	embplant_pt	petG,psaJ,rpl33,rps18	rps18>>rpl33>>psaJ>>petG	rps18>>rpl33>>psaJ>>petG	rps18(175-480,embplant_pt)>>rpl33(652-852,embplant_pt)>>psaJ(1294-1428,embplant_pt)>>petG(2258-2371,embplant_pt)
13842	embplant_pt	psbB	psbB	psbB	psbB(399-1513,embplant_pt)
13862	embplant_pt	rbcL	rbcL	rbcL	rbcL(168-1595,embplant_pt)
13864	embplant_pt	rps16	rps16	rps16	rps16(40-334,embplant_pt)
13874	embplant_pt	atpH	atpH	atpH	atpH(327-572,embplant_pt)
13880	embplant_pt	petA	petA	petA	petA(410-1372,embplant_pt)
13890	embplant_pt	psaI,ycf4	ycf4>>psaI	ycf4>>psaI	ycf4(3-143,embplant_pt)>>psaI(563-673,embplant_pt)
13928	embplant_pt	rps12_2	rps12_2	rps12_2	rps12_2(338-548,embplant_pt)
13982	embplant_pt	psbI,psbK	psbI>>psbK	psbI>>psbK	psbI(1646-1756,embplant_pt)>>psbK(2177-2362,embplant_pt)
14024	embplant_pt	psbM	psbM	psbM	psbM(432-528,embplant_pt)
14028	embplant_pt	psbA	psbA	psbA	psbA(56-1117,embplant_pt)
14030	embplant_pt	petB,petD	petB>>petD	petB>>petD	petB(1-1154,embplant_pt)>>petD(1357-1465,embplant_pt)
2280	embplant_pt	psaB,rps14	psaB>>rps14	psaB>>rps14	psaB(1-281,embplant_pt)>>rps14(422-724,embplant_pt)
2328	embplant_pt	ndhF	ndhF	ndhF	ndhF(1-267,embplant_pt)
2650	embplant_pt	clpP	clpP	clpP	clpP(1-399,embplant_pt)
268	embplant_pt	rps4	rps4	rps4	rps4(11-279,embplant_pt)
2800	embplant_pt	atpI	atpI	atpI	atpI(99-842,embplant_pt)
2896	embplant_pt	atpA	atpA	atpA	atpA(157-675,embplant_pt)
32	embplant_pt	psaA	psaA	psaA	psaA(3-279,embplant_pt)
3250	embplant_pt	ndhD	ndhD	ndhD	ndhD(4-394,embplant_pt)
